Stofnaam,KRW status,CAS-nummer,EG-nummer,Aquo-code,SIKB-id,Categorie,Compartiment,Norm,Waarde,Eenheid,Normwaardestatus.code,Normwaardestatus.omschrijving,Achtergrondconcentratie.code,Achtergrondconcentratie.omschrijving,Toelichtende voetnoot 1,Toelichtende voetnoot 2,Toelichtende voetnoot 3,Norm.code,Norm.omschrijving,Normsubgroup.code,Normsubgroup.omschrijving,Compartiment.code,Compartiment.omschrijving,Compartimentsubgroep.code,Compartimentsubgroep.omschrijving,Grootheid.code,Grootheid.omschrijving,Hoedanigheid.code,Hoedanigheid.omschrijving,Waardebewerkingsmethode.code ,Waardebewerkingsmethode.omschrijving,Geldigheid.begindatum,Geldigheid.einddatum,Column1
benzo[a]antraceen,Prioritaire stoffen,56-55-3,200-280-6,BaA,345,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,28",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,De milieukwaliteitseis uitgedrukt als totale concentratie is afgeleid van de opgeloste concentratie. In het achterliggende rapport wordt alleen de opgeloste concentratie genoemd.,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
benzo[a]pyreen,Prioritaire stoffen,50-32-8,200-028-5,BaP,346,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"1,70E-04",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,"Voor de groep prioritaire stoffen die onder polycyclische aromatische koolwaterstoffen (PAK) vallen, is de vermelde biota-OGW en de overeenkomstige JG-OGW voor water de concentratie van benzo(a)pyreen; beide OGW zijn op de toxiciteit van benzo(a)pyreen gebaseerd. Benzo(a)pyreen kan worden beschouwd als een marker voor andere PAK en daarom dient voor de vergelijking met biota-OGW en de overeenkomstige JG-OGW in water alleen benzo(a)pyreen te worden gemeten.",,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
benzo[a]pyreen,Prioritaire stoffen,50-32-8,200-028-5,BaP,346,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,27",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
benzo[b]fluoranteen,Prioritaire stoffen,205-99-2,205-911-9,BbF,348,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,017",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
"benzo[g,h,i]peryleen",Prioritaire stoffen,191-24-2,205-883-8,BghiPe,351,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"8,20E-03",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
benzo[k]fluoranteen,Prioritaire stoffen,207-08-9,205-916-6,BkF,353,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,017",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
beta-hexabroomcyclododecaan,Prioritaire stoffen,134237-51-7,,bHBCD,3244,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,0016",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
beta-hexabroomcyclododecaan,Prioritaire stoffen,134237-51-7,,bHBCD,3244,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,5",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
bifenox,Prioritaire stoffen,42576-02-3,255-894-7,bfnx,375,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,012",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
bifenox,Prioritaire stoffen,42576-02-3,255-894-7,bfnx,375,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,04",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
